|-0 (W: 2753.0999999999985, N: 4160.0, UTC: 0.7250892974602705) 
| |-1 (W: 2753.0999999999985, N: 4160.0, UTC: 0.7250883845522589) 
| | |-2 (W: 2753.0999999999985, N: 4000.0, UTC: 0.7528137998211193) 
| | | |-3 (W: 0.0, N: 6.0, UTC: 0.0) 
| | | | |-4 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | |-5 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | |-4 (W: 0.0, N: 2.0, UTC: 0.0) 
| | | | | |-5 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | |-5 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | |-4 (W: 0.0, N: 3.0, UTC: 0.0) 
| | | | | |-5 (W: 0.0, N: 3.0, UTC: 0.0) 
| | | |-3 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | |-4 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | |-5 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | |-3 (W: 2753.0999999999985, N: 3841.0, UTC: 0.7824723150906244) 
| | | | |-4 (W: 0.0, N: 2.0, UTC: 0.0) 
| | | | | |-5 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | |-5 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | |-4 (W: 2753.0999999999985, N: 3680.0, UTC: 0.8150883870226074) 
| | | | | |-5 (W: 0.0, N: 2.0, UTC: 0.0) 
| | | | | | |-6 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | | |-7 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | |-6 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | | |-7 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | |-5 (W: 0.0, N: 7.0, UTC: 0.0) 
| | | | | | |-6 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | | |-7 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | |-6 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | | |-7 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | |-6 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | | |-7 (W: 0.0, N: 1.0, UTC: 0.0) 
| | | | | | |-6 (W: 0.0, N: 3.0, UTC: 0.0) 
